"","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）"
"系列名称","Ｍ２／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","Ｍ３／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿Ｍ１／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","広義流動性／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿＿現金通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿＿預金通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿準通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿ＣＤ／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","Ｍ２／平／マネーストック","Ｍ３／平／マネーストック","＿Ｍ１／平／マネーストック","広義流動性／平／マネーストック","＿＿現金通貨／平／マネーストック","＿＿預金通貨／平／マネーストック","＿準通貨／平／マネーストック","＿ＣＤ／平／マネーストック"
"データコード",MD02'MAM1YAM2M2MO,MD02'MAM1YAM3M3MO,MD02'MAM1YAM3M1MO,MD02'MAM1YABLBLMO,MD02'MAM1YAM3CCMO,MD02'MAM1YAM3DMMO,MD02'MAM1YAM3QMMO,MD02'MAM1YAM3CDMO,MD02'MAM1NAM2M2MO,MD02'MAM1NAM3M3MO,MD02'MAM1NAM3M1MO,MD02'MAM1NABLBLMO,MD02'MAM1NAM3CCMO,MD02'MAM1NAM3DMMO,MD02'MAM1NAM3QMMO,MD02'MAM1NAM3CDMO
"単位",％,％,％,％,％,％,％,％,億円,億円,億円,億円,億円,億円,億円,億円
"収録開始期","1968/01","1997/01","1964/01","1981/01","1964/01","1964/01","1968/01","1980/05","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04"
"収録終了期","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02"
"最終更新日","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10"
2022/04,3.4,3.1,6,4.2,3.3,6.4,-2.6,6.3,12018499,15551700,10241465,20464251,1139880,9101585,4950481,359754
2022/05,3.1,2.9,5.5,3.6,3.2,5.8,-2.5,8.2,12042833,15578980,10283414,20616440,1139688,9143726,4945905,349661
2022/06,3.3,2.9,5.6,3.8,3.1,5.9,-2.3,4.8,12078178,15623264,10275588,20673799,1137506,9138082,4963924,383752
2022/07,3.4,3,5.6,3.9,2.9,5.9,-2.1,5,12088016,15648341,10287868,20721265,1144796,9143072,4975962,384511
2022/08,3.4,3,5.5,3.9,2.9,5.9,-2.1,4,12088202,15649767,10293335,20729252,1146599,9146736,4975705,380727
2022/09,3.3,2.8,5.3,3.8,2.9,5.6,-2.2,6.2,12075500,15632476,10289398,20717229,1145554,9143844,4964472,378606
2022/10,3.1,2.6,5,3.7,2.8,5.2,-2,4.8,12064408,15619677,10300549,20718796,1147612,9152937,4951774,367354
2022/11,3.1,2.7,5,3.7,2.6,5.3,-1.6,-1.2,12124935,15677345,10363893,20780710,1149828,9214065,4959027,354425
2022/12,2.9,2.5,4.8,3.5,2.6,5,-1.4,-5.4,12128301,15693481,10425610,20789083,1168296,9257314,4944164,323707
2023/01,2.7,2.3,4.5,3.4,2.5,4.8,-1.3,-9.5,12132455,15696317,10448504,20796288,1169255,9279249,4938565,309248
2023/02,2.6,2.2,4.3,3.6,2.3,4.6,-1.4,-10.5,12091386,15648243,10420143,20758896,1158650,9261493,4921351,306749
2023/03,2.5,2.1,4.4,3.4,1.8,4.8,-1.6,-12.5,12134406,15681922,10505299,20800288,1158138,9347161,4878626,297997
2023/04,2.6,2.1,4.4,2.7,1.5,4.8,-1.8,-11.5,12326939,15873481,10696137,21014123,1157015,9539122,4858902,318442
2023/05,2.6,2.1,4.4,2.2,1.3,4.8,-1.7,-11.3,12360428,15904516,10734206,21071688,1154957,9579249,4860004,310306
2023/06,2.6,2,4.3,2.2,1.1,4.7,-1.5,-13.7,12392324,15942425,10719688,21131729,1150142,9569546,4891467,331270
2023/07,2.5,1.9,4.1,2.1,0.9,4.5,-1.3,-15.1,12388936,15949800,10713085,21158198,1155383,9557702,4910436,326279
2023/08,2.5,1.9,4.2,2.1,0.8,4.6,-1.5,-17.1,12385266,15943646,10725889,21154294,1155804,9570085,4902275,315482
2023/09,2.4,1.8,4.2,2,0.6,4.7,-1.6,-17.9,12363619,15918249,10722400,21129773,1152002,9570398,4884965,310884
2023/10,2.4,1.8,4.1,1.9,0.4,4.6,-1.4,-18.8,12353137,15905213,10723802,21119838,1152143,9571659,4883181,298230
2023/11,2.3,1.7,3.8,1.9,0.2,4.3,-1.7,-12.9,12399055,15943279,10762053,21167786,1151588,9610465,4872603,308623
2023/12,2.3,1.7,3.8,1.9,-0.1,4.3,-2,-9.9,12409742,15962439,10826276,21193892,1167685,9658591,4844472,291691
2024/01,2.5,1.8,3.9,2.1,-0.3,4.5,-1.9,-10.2,12430886,15981678,10858690,21230650,1165574,9693116,4845426,277562
2024/02,2.4,1.8,3.9,2.2,-0.4,4.5,-1.9,-12.9,12387111,15928651,10831498,21210712,1154491,9677007,4829906,267247
2024/03,2.5,1.9,4,2.3,-0.6,4.6,-1.9,-12.4,12443081,15972247,10926868,21274133,1151705,9775163,4784262,261117
2024/04,2.2,1.6,3.6,3.1,-0.8,4.2,-1,-27.1,12599890,16125694,11085392,21667908,1147757,9937635,4808037,232265
2024/05,1.8,1.3,2.8,3.9,-1.2,3.3,-0.3,-26.6,12588866,16105945,11034367,21895746,1141369,9892998,4843954,227624
2024/06,1.5,1,2.5,3.8,-1.5,3,-0.6,-26.8,12574420,16094805,10988661,21940855,1132935,9855726,4863786,242358
2024/07,1.5,1,2.4,3.9,-1.9,2.9,-0.4,-26,12569139,16101589,10969025,21992436,1132948,9836077,4890988,241576
2024/08,1.3,0.8,2.2,3.9,-2.1,2.7,-0.6,-24,12548351,16074101,10961652,21986922,1131842,9829810,4872525,239924
2024/09,1.2,0.7,1.9,4,-2.2,2.3,-0.4,-20.4,12517047,16034743,10920864,21972981,1126191,9794673,4866356,247523
2024/10,1.2,0.7,1.5,4,-2.5,2,0.2,-20,12500641,16013877,10884697,21970058,1123840,9760857,4890701,238479
2024/11,1.2,0.7,1.4,4.1,-2.6,1.9,0.5,-20.2,12549271,16058938,10913656,22037471,1121340,9792316,4898989,246293
2024/12,1.3,0.8,1.3,4.2,-2.7,1.8,1,-19.2,12576036,16097395,10969519,22089153,1136303,9833216,4892053,235823
2025/01,1.3,0.8,1.1,4.2,-2.6,1.5,1.2,-17.2,12594584,16107730,10973524,22114055,1135095,9838429,4904289,229917
2025/02,1.2,0.7,0.8,4,-2.6,1.2,1.4,-18.4,12532312,16033407,10919164,22057180,1123968,9795196,4896038,218205
2025/03,0.8,0.4,0.1,3.7,-2.6,0.5,1.9,-18.1,12546125,16028951,10941288,22070059,1122103,9819185,4873709,213954
2025/04,0.5,0.1,-0.6,2.7,-2.6,-0.4,2,-5.4,12661783,16140771,11016430,22242655,1117879,9898551,4904506,219835
2025/05,0.6,0.2,-0.3,1.8,-2.4,-0.1,1.7,-6,12670430,16141609,10999562,22299934,1114052,9885510,4928039,214008
2025/06,0.8,0.4,-0.3,1.8,-2.1,-0.1,2.2,-5.6,12681276,16155376,10956687,22341516,1109404,9847283,4970015,228674
2025/07,1,0.6,-0.7,1.9,-1.8,-0.6,3.7,-6.6,12696115,16190668,10894655,22416464,1112682,9781973,5070479,225534
2025/08,1.3,0.8,-0.7,2.2,-1.6,-0.6,4.4,-3.4,12712303,16202081,10882194,22461858,1113894,9768300,5088027,231860
2025/09,1.5,1,-0.8,2.3,-1.5,-0.7,5.1,-2.8,12708455,16194256,10838397,22480416,1108760,9729637,5115145,240714
2025/10,1.6,1.1,-0.6,2.4,-1.4,-0.6,5,-0.6,12701975,16184820,10814821,22495237,1108277,9706544,5133035,236964
2025/11,1.7,1.2,-0.6,2.5,-1.2,-0.5,5,2.1,12766866,16244145,10850471,22583111,1108352,9742119,5142185,251489
2025/12,1.7,1.1,-0.6,2.5,-1.1,-0.5,4.9,-0.7,12789117,16274495,10909008,22639373,1123509,9785499,5131272,234215
2026/01,1.6,1,-0.4,2.5,-1.1,-0.4,4.3,1.2,12790574,16272285,10924717,22665387,1122910,9801807,5114993,232575
2026/02,1.7,1.2,-0.5,2.7,-1,-0.5,4.7,7,12749234,16220947,10861948,22643520,1112527,9749421,5125571,233428
