Date,TSLA.US,^NDQ,GM.US,^DJI,mon_dum,tue_dum,wed_dum,thr_dum,fri_dum
2012/4/5,-2.071074387,1.011215447,-2.395955224,-0.279355246,0,0,0,1,0
2012/4/9,-11.23595506,-2.712222042,-6.648386979,-2.49901609,1,0,0,0,0
2012/4/10,-5.20361991,-4.583076257,-5.05236305,-4.131221485,0,1,0,0,0
2012/4/11,4.852125693,2.109507158,3.342249653,1.758817483,0,0,1,0,0
2012/4/12,2.643925657,3.23972471,2.812696077,3.53737762,0,0,0,1,0
2012/4/13,1.12141316,-3.618006578,-5.124200347,-2.637145422,0,0,0,0,1
2012/4/16,-9.972849022,-1.903643905,-3.995926258,1.397320848,1,0,0,0,0
2012/4/17,-0.077906977,4.5526034,6.588622452,3.755975548,0,1,0,0,0
2012/4/18,3.256828872,-0.934166333,1.184129422,-1.578089808,0,0,1,0,0
2012/4/19,3.828083019,-1.970179287,-1.461075653,-1.316874796,0,0,0,1,0
2012/4/20,0,-0.591010653,-4.257426814,1.256546926,0,0,0,0,1
2012/4/23,-9.19856876,-2.499625056,-6.879508784,-1.958860288,1,0,0,0,0
2012/4/24,-0.939262585,-0.744836641,-0.662540418,1.438636608,0,1,0,0,0
2012/4/25,8.564202646,5.74267288,4.564939674,1.714409655,0,0,1,0,0
2012/4/26,4.40633546,1.731234507,4.425926029,2.175205031,0,0,0,1,0
2012/4/27,-1.119735563,1.523465799,-2.03132876,0.448517261,0,0,0,0,1
2012/4/30,-1.574682701,-1.860419653,-5.63709379,-0.277435288,1,0,0,0,0
2012/5/1,4.904535309,0.334825825,3.376640991,1.242845456,0,1,0,0,0
2012/5/2,1.184502664,0.77120022,-4.066275977,-0.202382351,0,0,1,0,0
2012/5/3,-10.90194328,-2.904554145,-6.10886274,-1.167797283,0,0,0,1,0
2012/5/4,-4.852125693,-5.617828919,-0.101677386,-3.186288058,0,0,0,0,1
2012/5/7,5.027097078,0.120080911,0.550734409,-0.570244365,1,0,0,0,0
