Date,4502.JP,^NKX
2017/12/7,4900.92,22498.03
2017/12/8,4928.12,22811.08
2017/12/11,4943.3,22938.73
2017/12/12,4899.32,22866.17
2017/12/13,4967.29,22758.07
2017/12/14,5018.51,22694.45
2017/12/15,4976.12,22553.22
2017/12/18,5027.32,22901.77
2017/12/19,5066.49,22868
2017/12/20,5128.08,22891.72
2017/12/21,5134.48,22866.1
2017/12/22,5163.28,22902.76
2017/12/25,5156.89,22939.18
2017/12/26,5151.29,22892.69
2017/12/27,5150.48,22911.21
2017/12/28,5124.09,22783.98
2017/12/29,5120.09,22764.94
2018/1/4,5212.09,23506.33
2018/1/5,5253.67,23714.53
2018/1/9,5316.86,23849.99
2018/1/10,5332.06,23788.2
2018/1/11,5235.28,23710.43
2018/1/12,5155.29,23653.82
2018/1/15,5134.48,23714.88
2018/1/16,5156.09,23951.81
2018/1/17,5112.1,23868.34
2018/1/18,5136.89,23763.37
2018/1/19,5172.09,23808.06
2018/1/22,5192.08,23816.33
2018/1/23,5296.08,24124.15
2018/1/24,5287.26,23940.78
2018/1/25,5235.28,23669.49
2018/1/26,5314.45,23631.88
2018/1/29,5275.28,23629.34
2018/1/30,5208.08,23291.97
2018/1/31,5131.28,23098.29
2018/2/1,5216.86,23486.11
2018/2/2,5212.09,23274.53
2018/2/5,5052.9,22682.08
2018/2/6,4793.72,21610.24
2018/2/7,4821.73,21645.37
2018/2/8,4908.12,21890.86
2018/2/9,4780.14,21382.62
2018/2/13,4719.36,21244.68
2018/2/14,4730.54,21154.17
2018/2/15,4753.75,21464.98
2018/2/16,4758.54,21720.25
2018/2/19,4781.73,22149.21
2018/2/20,4727.35,21925.1
2018/2/21,4737.73,21970.81
2018/2/22,4708.15,21736.44
2018/2/23,4764.14,21892.78
2018/2/26,4850.52,22153.63
2018/2/27,4960.12,22389.86
2018/2/28,4888.93,22068.24
2018/3/1,4815.35,21724.47
2018/3/2,4681.74,21181.64
2018/3/5,4663.37,21042.09
2018/3/6,4688.95,21417.76
2018/3/7,4625.76,21252.72
2018/3/8,4616.16,21368.07
2018/3/9,4493.78,21469.2
2018/3/12,4548.17,21824.03
2018/3/13,4556.18,21968.1
2018/3/14,4517.78,21777.29
2018/3/15,4512.17,21803.95
2018/3/16,4512.98,21676.51
2018/3/19,4448.17,21480.9
2018/3/20,4393.79,21380.97
2018/3/22,4486.57,21591.99
2018/3/23,4388.99,20617.86
2018/3/26,4439.39,20766.1
2018/3/27,4511.38,21317.32
2018/3/28,4496.74,21031.31
2018/3/29,4161.85,21159.08
2018/3/30,4213.07,21454.3
2018/4/2,4148.84,21388.58
2018/4/3,4191.93,21292.29
2018/4/4,4295.96,21319.55
2018/4/5,4279.71,21645.42
2018/4/6,4064.3,21567.52
2018/4/9,4084.63,21678.26
2018/4/10,4064.3,21794.32
2018/4/11,4109.02,21687.1
2018/4/12,4060.24,21660.28
2018/4/13,3991.95,21778.74
2018/4/16,4077.3,21835.53
2018/4/17,4159.4,21847.59
2018/4/18,4143.95,22158.2
2018/4/19,4141.54,22191.18
2018/4/20,3948.06,22162.24
2018/4/23,4001.73,22088.04
2018/4/24,3943.19,22278.12
2018/4/25,3665.99,22215.32
2018/4/26,3703.39,22319.61
2018/4/27,3756.22,22467.87
2018/5/1,3734.28,22508.03
2018/5/2,3686.31,22472.78
2018/5/7,3625.35,22467.16
2018/5/8,3770.05,22508.69
2018/5/9,3681.44,22408.88
2018/5/10,3756.22,22497.18
2018/5/11,3783.04,22758.48
2018/5/14,3900.1,22865.86
2018/5/15,3816.37,22818.02
2018/5/16,3866.78,22717.23
