Date,TSLA.US,^NDQ,GM.US,^DJI
2012/1/4,-3.294604701,-0.033978676,1.214813626,0.424283195
2012/1/5,-5.322546594,2.029557915,12.05098743,-0.054757368
2012/1/6,-1.935840708,0.408261107,8.445638984,-1.12317469
2012/1/9,3.159141583,0.218755375,-0.846309128,0.662827915
2012/1/10,3.393571755,2.422886093,4.346910792,1.407684692
2012/1/11,5.521823899,0.764107308,13.2219134,-0.261184179
2012/1/12,0.176673751,1.285617318,2.076804589,0.433151665
2012/1/13,-48.31866959,-1.287297684,-3.895508708,-0.981475453
2012/1/17,41.79473847,1.605691582,-0.904342987,1.207730441
2012/1/18,1.97368792,3.814954107,3.207572503,1.940383286
2012/1/19,-0.465778564,1.680681371,3.153683407,0.894947512
2012/1/20,-1.495235426,-0.146144825,1.811821876,1.911045486
2012/1/23,1.598687216,-0.226970969,-0.788918233,-0.229158019
2012/1/24,6.06974959,0.221789618,-1.310334037,-0.650532465
2012/1/25,5.015043764,2.841235323,1.317238125,1.601680374
2012/1/26,8.669094263,-1.155834525,-2.024824637,-0.437604257
2012/1/27,3.369045213,1.004356071,-3.546416253,-1.456069002
2012/1/30,2.045690497,-0.409188546,-1.408045057,-0.133091531
2012/1/31,-4.226841777,0.168922523,-2.174985786,-0.411143917
2012/2/1,4.385964912,3.058987007,3.62252186,1.653419521
2012/2/2,5.663032454,1.001485112,-0.597352449,-0.217238131
2012/2/3,7.438004235,4.019680524,19.2131882,3.085693417
2012/2/6,5.216283762,-0.315763028,4.967207987,-0.332368493
2012/2/7,-1.571933962,0.180048863,-4.471261738,0.643629142
2012/2/8,2.610755363,1.014090521,-4.50188105,0.111622742
2012/2/9,5.088858301,0.974841042,-0.087070201,0.126319956
2012/2/10,-11.3570442,-1.994206127,-2.312582367,-1.730543363
2012/2/13,3.135053272,2.368382991,-1.599011289,1.421933674
2012/2/14,13.33758866,0.03752486,0.600123102,0.082336236
2012/2/15,3.241262046,-1.364335586,-4.623186033,-1.889421569
2012/2/16,4.389508929,3.774225521,22.44752729,2.408467289
2012/2/17,5.703430394,-0.68162238,1.571492128,0.887122522
2012/2/21,-3.359670231,-0.271869855,-2.555252887,0.305408471
2012/2/22,-2.029347826,-1.305717687,-4.721399033,-0.520990399
2012/2/23,2.265126045,2.029374363,2.22867885,0.889194948
2012/2/24,-5.647263249,0.572374517,-6.665777088,-0.033500992
2012/2/27,-0.963333333,0.203289751,3.746354595,-0.027728675
2012/2/28,1.413223399,1.736251585,-3.018158064,0.454685164
2012/2/29,-2.958074534,-1.663173472,-1.150922478,-1.019790667
2012/3/1,7.483174922,1.860534095,4.300334137,0.544893596
2012/3/2,-2.68853531,-1.0689301,-0.19640481,-0.052579678
2012/3/5,-1.982964135,-2.159640346,-4.23093744,-0.284336744
2012/3/6,-4.88600072,-3.402836149,-13.65985694,-3.927774919
2012/3/7,0.075883533,2.179313615,3.053519876,1.531841855
2012/3/8,-0.377038043,2.957567046,5.734292401,1.375091238
2012/3/9,12.62433834,1.508204227,1.651968319,0.272700369
2012/3/12,9.139680484,-0.391521714,-2.234668047,0.72918166
2012/3/13,0.555053381,4.710657381,6.700484749,4.204762298
2012/3/14,-5.541354946,0.069904075,2.395373763,0.311511586
2012/3/15,-2.055111852,1.285875431,-2.582499247,1.111481647
2012/3/16,2.286431838,-0.090793981,-4.593987776,-0.379920862
2012/3/19,-2.406919016,1.886909788,-1.757377682,0.122991516
2012/3/20,-0.142581475,-0.338658749,-2.968893166,-1.301822703
2012/3/21,1.357978607,0.095148252,2.024202363,-0.865021689
2012/3/22,-5.334289238,-0.97550824,-2.40490848,-1.494900424
2012/3/23,-2.325221403,0.375409686,1.214133762,0.662839737
2012/3/26,24.35409331,4.453342982,4.074024351,3.075134186
2012/3/27,3.609630494,-0.177738209,-2.238062818,-0.828825454
2012/3/28,-0.593042426,-1.233034756,-1.990413206,-1.354778435
2012/3/29,-3.433954338,-0.772956817,1.568418714,0.373489377
2012/3/30,-0.60273158,-0.306103329,3.374058268,1.259335667
2012/4/2,-4.430713707,2.274734197,10.85893519,0.992465963
2012/4/3,9.77274498,-0.491233131,-11.44613711,-1.223944532
2012/4/4,-19.79775059,-3.651756665,-4.268599899,-2.363716945
2012/4/5,-2.071074387,1.011215447,-2.395955224,-0.279355246
2012/4/9,-11.23595506,-2.712222042,-6.648386979,-2.49901609
2012/4/10,-5.20361991,-4.583076257,-5.05236305,-4.131221485
2012/4/11,4.852125693,2.109507158,3.342249653,1.758817483
2012/4/12,2.643925657,3.23972471,2.812696077,3.53737762
2012/4/13,1.12141316,-3.618006578,-5.124200347,-2.637145422
2012/4/16,-9.972849022,-1.903643905,-3.995926258,1.397320848
2012/4/17,-0.077906977,4.5526034,6.588622452,3.755975548
2012/4/18,3.256828872,-0.934166333,1.184129422,-1.578089808
2012/4/19,3.828083019,-1.970179287,-1.461075653,-1.316874796
2012/4/20,0,-0.591010653,-4.257426814,1.256546926
2012/4/23,-9.19856876,-2.499625056,-6.879508784,-1.958860288
2012/4/24,-0.939262585,-0.744836641,-0.662540418,1.438636608
2012/4/25,8.564202646,5.74267288,4.564939674,1.714409655
2012/4/26,4.40633546,1.731234507,4.425926029,2.175205031
2012/4/27,-1.119735563,1.523465799,-2.03132876,0.448517261
2012/4/30,-1.574682701,-1.860419653,-5.63709379,-0.277435288
2012/5/1,4.904535309,0.334825825,3.376640991,1.242845456
2012/5/2,1.184502664,0.77120022,-4.066275977,-0.202382351
2012/5/3,-10.90194328,-2.904554145,-6.10886274,-1.167797283
2012/5/4,-4.852125693,-5.617828919,-0.101677386,-3.186288058
2012/5/7,5.027097078,0.120080911,0.550734409,-0.570244365
2012/5/8,-17.55463881,-0.971174132,-2.03425317,-1.469036086
2012/5/9,-1.076927663,-0.980901275,2.400318093,-1.875760221
2012/5/10,24.11801397,-0.091150403,-0.793462334,0.389168418
2012/5/11,-5.384944455,0.015339305,-4.148437364,-0.669776212
2012/5/14,-16.97674419,-2.66205834,-4.14753895,-2.442358392
2012/5/15,-5.239520958,-0.759668984,-2.467722846,-1.247504007
2012/5/16,-2.124108053,-1.703665819,5.708226642,-0.662009183
2012/5/17,-5.225334519,-5.24957899,-3.409583019,-3.096784947
2012/5/18,-8.838801472,-3.100910193,-4.999398569,-1.468958384
2012/5/21,10.97652572,6.155556915,4.260640093,2.730532977
2012/5/22,17.55344108,-0.713856723,-0.435971084,-0.033388034
2012/5/23,1.867080437,0.972145906,7.296005029,-0.133170063
2012/5/24,-5.641924565,-0.942065597,-1.007277063,0.67220704
2012/5/25,-4.205152053,-0.162887673,4.549609317,-1.494842275
2012/5/29,15.76738639,2.947986453,4.584127278,2.526329143
2012/5/30,-10.09859562,-2.928432353,-5.280758928,-3.195969378
2012/5/31,-7.480281947,-0.882862943,-1.865053773,-0.531608247
2012/6/1,-11.44065858,-7.061407542,-2.170298954,-5.544864424
2012/6/4,-2.397864302,1.140135688,-10.19953232,-0.352970689
2012/6/5,0.269009561,1.639486813,1.654487586,0.547248018
2012/6/6,11.10621443,5.994183096,6.803781985,5.912788229
2012/6/7,-1.885938055,-1.203984926,0.236660673,0.929737837
2012/6/8,9.936899521,2.41962261,2.295965406,1.87064239
2012/6/11,-7.978736667,-4.258471463,-1.497067751,-2.847055169
2012/6/12,4.635996971,2.966477206,2.878760028,3.274655292
2012/6/13,0.928019096,-2.150843982,-3.414599832,-1.539311903
2012/6/14,-3.191966423,1.571696687,-0.784495516,3.111501091
2012/6/15,4.423706063,3.214541326,-0.667727877,2.277521734
2012/6/18,16.13214644,1.960630744,-3.600143468,-0.496390351
2012/6/19,1.962151441,2.972890828,3.652745093,1.873947364
2012/6/20,13.1665054,0.058878543,-3.020294707,-0.251999442
