Date,Toyota,Honda,Nikkei,SMB,HML,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
20150326,-1.035,-1.448,-1.393,0.45,0.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20150327,0.012,-1.641,-0.953,-0.21,-0.83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20150330,-0.649,0.277,0.652,-0.13,-0.38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20150331,-0.511,-2.303,-1.053,1.46,-0.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20150401,-1.755,-0.718,-0.896,0.29,0.06,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20150402,1.713,1.691,1.46,-0.57,0.32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20150403,0.586,1.396,0.633,-0.04,-0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150406,-1.106,1.013,-0.191,0.47,-0.83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150407,0.926,0.261,1.25,-0.7,0.27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20150408,-0.452,0.729,0.76,0.15,-0.07,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20150409,-0.06,0.687,0.747,-0.25,-0.44,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20150410,-0.49,1.644,-0.151,0.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150413,-0.939,-2.54,-0.011,0.4,-0.27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150414,0.448,1.094,0.016,0.48,0.51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20150415,-0.144,0.852,-0.195,-0.13,0.19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20150416,0.436,1.677,0.081,-0.66,1.32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20150417,-0.145,0.321,-1.171,-0.12,0.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150420,-0.422,-1.194,-0.094,-0.46,0.36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150421,2.239,1.555,1.399,-1.11,-0.13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20150422,0.177,0.295,1.129,-0.21,-0.17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20150423,0.189,1.528,0.267,-0.37,0.06,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20150424,-0.767,0.602,-0.83,0.45,0.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150427,-0.869,-0.678,-0.183,0.16,-0.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150428,2.1,0.324,0.378,-0.74,0.14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20150430,-1.843,-6.674,-2.687,1.22,0.86,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20150501,-0.514,1.435,0.06,-0.56,-0.03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150507,-1.215,-0.256,-1.227,0.5,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20150508,0.791,2.311,0.452,0.13,0.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150511,-0.532,0.646,1.247,0.22,0.03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150512,0.594,-0.938,0.02,-0.07,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20150513,-1.064,0.479,0.713,-0.01,-0.35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20150514,-0.206,-0.071,-0.984,0.32,-0.12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20150515,1.43,-0.24,0.831,-0.59,-0.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150518,0.677,1.402,0.797,-0.83,0.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150519,0.144,-1.323,0.684,0.45,-0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20150520,0.487,0.072,0.85,-0.15,-0.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20150521,0.216,-0.681,0.031,-0.44,0.33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20150522,-0.914,-0.746,0.305,0.32,-0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
