Date,700.HK,175.HK
2019/8/1,0.004914173,-0.018008237
2019/8/2,-0.03837028,-0.043705251
2019/8/5,-0.042732131,-0.026241662
2019/8/6,-0.009977932,-0.005483996
2019/8/7,0.004146444,-0.021677957
2019/8/8,0.011224356,0.038873878
2019/8/9,-0.011686917,-0.012501049
2019/8/12,0.004722881,-0.005399792
2019/8/13,-0.017655781,-0.019941533
2019/8/14,0.01797311,-0.005636422
2019/8/15,-0.028242712,0.003749696
2019/8/16,-0.012084075,0.005550165
2019/8/19,0.031854901,0.020273661
2019/8/20,-0.010090527,0.003726367
2019/8/21,-0.00241199,-0.005483996
2019/8/22,-0.004808306,0.076157089
2019/8/23,0.009660022,0.004947924
2019/8/26,-0.024522073,-0.011660607
2019/8/27,0.000616687,0.025440105
2019/8/28,-0.022069367,-0.005030946
2019/8/29,0.003749624,-0.004969505
2019/8/30,0.014352467,0.011796036
2019/9/2,0.019720185,-0.003408669
2019/9/3,-0.006042619,-0.028176576
2019/9/4,0.036442366,0.035854302
2019/9/5,0.000589225,0.037830306
2019/9/6,0.005859184,0.011039833
2019/9/9,-0.002897817,0.051817422
2019/9/10,-0.006432083,0
2019/9/11,0.017054397,0.00438012
2019/9/12,0.009822213,0
2019/9/13,0.000575389,0.047528886
2019/9/16,-0.008599864,-0.031193979
2019/9/17,-0.008645315,-0.02918575
2019/9/18,-0.001755314,0
2019/9/19,-0.013395658,-0.004505143
2019/9/20,-0.002379353,-0.015135212
2019/9/23,-0.005329655,-0.009270491
2019/9/24,-0.0005987,-0.003121782
2019/9/25,-0.021454718,-0.029517984
2019/9/26,0.012188482,0.019260265
2019/9/27,-0.009014567,0.036164492
2019/9/30,0.002410621,0.009078717
2019/10/2,-0.015744562,0.007526366
2019/10/3,0.000618595,0.00300523
2019/10/4,-0.007390586,-0.019347056
2019/10/8,0.003117205,0.025831488
2019/10/9,-0.01729727,-0.001524013
2019/10/10,0.001895425,0.02666832
2019/10/11,0.018797969,0.001411225
2019/10/14,0.010494622,-0.015833183
2019/10/15,0.001806865,-0.024840155
2019/10/16,0.006698232,0.01347457
2019/10/17,0,0.017804706
2019/10/18,0,-0.001431127
2019/10/21,-0.01874319,-0.005862308
2019/10/22,0.00863769,0.046883627
2019/10/23,-0.023205613,-0.008445525
2019/10/24,-0.003109708,0.002910563
2019/10/25,-0.007534084,-0.001451058
2019/10/28,0.017055644,0.035281708
2019/10/29,-0.015520925,0.016373469
2019/10/30,-0.002536777,-0.013410727
2019/10/31,0.014566054,0.012193216
2019/11/1,0.002475224,-0.002702703
2019/11/4,0.018665988,0.022912047
2019/11/5,0.016482923,0.009227911
2019/11/6,0.00298829,-0.009143535
2019/11/7,-0.001173606,0.003936141
2019/11/8,-0.019199496,0.018383462
2019/11/11,-0.01284747,-0.02701684
2019/11/12,0.022291659,0.005257333
2019/11/13,-0.008465838,-0.038143408
2019/11/14,-0.023219862,0
2019/11/15,0.000628651,0.010938853
2019/11/18,0.031267561,0.044661939
2019/11/19,0.01998751,0.001273566
2019/11/20,-0.002986347,-0.025892223
2019/11/21,-0.018456416,-0.003972829
2019/11/22,0.012758505,-0.009351073
2019/11/25,0.015583692,0.028254672
2019/11/26,-0.009467353,0.014444239
2019/11/27,-0.001770082,-0.01290919
2019/11/28,0.008944511,-0.014424786
2019/11/29,-0.018325233,-0.029077591
2019/12/2,0.00360802,0.010852015
2019/12/3,-0.006009951,0.006763585
2019/12/4,-0.00726104,0.005328185
2019/12/5,0.004285802,0.013358099
2019/12/6,0.016941473,0.011893441
2019/12/9,0.001797175,-0.03384452
2019/12/10,0.001793951,0.002706551
2019/12/11,0.009493614,0.008041501
2019/12/12,0.026468814,0.024001785
2019/12/13,0.03437206,0.002621759
2019/12/16,-0.003313473,-0.003884999
2019/12/17,0.031692148,-0.006525252
