Date,TSLA.US,GM.US
2012/8/31,1.90133,16.4289
2012/9/4,1.876,16.394
2012/9/5,1.86267,16.7425
2012/9/6,1.90333,17.2751
2012/9/7,1.95667,17.9829
2012/9/10,1.82467,17.6812
2012/9/11,1.85333,17.6723
2012/9/12,1.88533,17.7957
2012/9/13,1.96533,18.1033
2012/9/14,2.026,18.5742
2012/9/17,2.16933,18.3124
2012/9/18,2.08933,18.7972
2012/9/19,2.07,19.044
2012/9/20,2.06,18.7902
2012/9/21,2.00133,19.0819
2012/9/24,2.044,18.7444
2012/9/25,1.844,18.0964
2012/9/26,1.836,17.9958
2012/9/27,1.89933,17.8345
2012/9/28,1.952,17.504
2012/10/1,1.944,17.7658
2012/10/2,1.98667,18.2198
2012/10/3,1.95333,18.7654
2012/10/4,1.96,18.9664
2012/10/5,1.926,19.0819
2012/10/8,1.95,18.9037
2012/10/9,1.89133,18.7494
2012/10/10,1.89333,18.6438
2012/10/11,1.888,18.9744
2012/10/12,1.84267,18.8052
2012/10/15,1.822,18.835
2012/10/16,1.87067,19.074
2012/10/17,1.92127,19.282
2012/10/18,1.86933,19.6653
2012/10/19,1.84933,18.9206
2012/10/22,1.85667,18.9426
2012/10/23,1.89267,18.3672
2012/10/24,1.828,18.2288
2012/10/25,1.83467,18.181
2012/10/26,1.82533,17.9122
2012/10/31,1.8754,19.6215
2012/11/1,1.94967,19.7579
2012/11/2,1.92787,19.8445
2012/11/5,2.1,19.6742
2012/11/6,2.07667,20.1511
2012/11/7,2.10267,19.2591
2012/11/8,2.08733,19.0192
2012/11/9,2.02133,19.2661
2012/11/12,2.07133,19.4353
2012/11/13,2.1076,19.0968
2012/11/14,2.092,18.596
2012/11/15,2.05467,18.3741
2012/11/16,2.12267,18.3522
2012/11/19,2.19467,19.1814
2012/11/20,2.2,18.9286
2012/11/21,2.16467,18.9286
2012/11/23,2.142,19.3955
2012/11/26,2.15133,19.4124
2012/11/27,2.14333,19.2442
2012/11/28,2.214,19.4512
2012/11/29,2.246,20.0735
2012/11/30,2.25467,19.9121
2012/12/3,2.308,19.6265
2012/12/4,2.26,19.5488
2012/12/5,2.24733,19.2352
2012/12/6,2.26,18.9037
2012/12/7,2.278,19.3825
2012/12/10,2.30467,19.4512
2012/12/11,2.352,19.5827
2012/12/12,2.35067,19.72
2012/12/13,2.24067,19.3278
2012/12/14,2.254,18.9326
2012/12/17,2.29333,19.1198
2012/12/18,2.306,19.6135
2012/12/19,2.30733,20.9126
2012/12/20,2.29533,21.0351
2012/12/21,2.26667,21.0212
2012/12/24,2.28533,21.28
2012/12/26,2.23933,21.2521
2012/12/27,2.246,21.512
2012/12/28,2.21467,21.4283
2012/12/31,2.258,22.1829
2013/1/2,2.35733,22.4139
2013/1/3,2.318,22.9445
2013/1/4,2.29333,22.9723
2013/1/7,2.28933,22.821
2013/1/8,2.24533,22.599
2013/1/9,2.24267,23.0579
2013/1/10,2.23533,23.4203
2013/1/11,2.194,23.3596
2013/1/14,2.21733,23.3347
2013/1/15,2.26,23.5457
2013/1/16,2.27333,22.5522
2013/1/17,2.292,22.6896
2013/1/18,2.30133,22.5274
2013/1/22,2.346,22.0306
2013/1/23,2.4,21.9808
2013/1/24,2.466,22.1441
2013/1/25,2.46533,22.3661
2013/1/28,2.53533,22.1829
2013/1/29,2.53,21.8892
2013/1/30,2.50133,21.497
2013/1/31,2.50067,21.6144
2013/2/1,2.55333,21.6732
2013/2/4,2.516,21.512
2013/2/5,2.542,21.9978
2013/2/6,2.61133,21.947
2013/2/7,2.632,21.9052
2013/2/8,2.616,21.9808
2013/2/11,2.56133,21.953
2013/2/12,2.526,21.9668
2013/2/13,2.56333,22.0584
2013/2/14,2.55333,21.3506
2013/2/15,2.46933,21.3596
2013/2/19,2.61867,21.2969
2013/2/20,2.56933,20.8509
2013/2/21,2.344,20.3979
2013/2/22,2.40733,20.8579
2013/2/25,2.292,20.2585
2013/2/26,2.29533,20.6439
