Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/3/26,-1.035 ,-1.448 ,-1.393 ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2015/3/27,0.012 ,-1.641 ,-0.953 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015/3/30,-0.649 ,0.277 ,0.652 ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015/3/31,-0.511 ,-2.303 ,-1.053 ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015/4/1,-1.755 ,-0.718 ,-0.896 ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/2,1.713 ,1.691 ,1.460 ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015/4/3,0.586 ,1.396 ,0.633 ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/6,-1.106 ,1.013 ,-0.191 ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/7,0.926 ,0.261 ,1.250 ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/8,-0.452 ,0.729 ,0.760 ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/9,-0.060 ,0.687 ,0.747 ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015/4/10,-0.490 ,1.644 ,-0.151 ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/13,-0.939 ,-2.540 ,-0.011 ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/14,0.448 ,1.094 ,0.016 ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/15,-0.144 ,0.852 ,-0.195 ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/16,0.436 ,1.677 ,0.081 ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015/4/17,-0.145 ,0.321 ,-1.171 ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/20,-0.422 ,-1.194 ,-0.094 ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/21,2.239 ,1.555 ,1.399 ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
